complaint_text,category,priority,department
Multiple complaints have been raised about telecom service issue.,Telecom,Medium,Telecom Department
Residents are facing public land encroachment in the area.,Encroachment,Medium,Encroachment Department
Residents are facing traffic noise in the area.,Noise Pollution,Medium,Noise Pollution Department
Urgent attention is required due to poor public transport.,Transport,Medium,Transport Department
People are suffering because of child safety concern.,Women & Child Safety,High,Women & Child Safety Department
The locality has been affected by low water pressure for several days.,Water,High,Water Department
Please take immediate action regarding digital payment issue.,Digital Services,Low,Digital Services Department
Please take immediate action regarding damaged road.,Infrastructure,Medium,Infrastructure Department
Citizens have repeatedly reported farm water problem.,Agriculture,Medium,Agriculture Department
There is a serious problem involving public harassment.,Public Safety,Medium,Public Safety Department
People are suffering because of urban flooding.,Flooding,High,Flooding Department
Multiple complaints have been raised about stagnant water.,Drainage,Medium,Drainage Department
Residents are facing loudspeaker disturbance in the area.,Noise Pollution,Medium,Noise Pollution Department
Multiple complaints have been raised about large potholes.,Infrastructure,Medium,Infrastructure Department
Urgent attention is required due to power outage.,Electricity,High,Electricity Department
There is a serious problem involving monkey nuisance.,Animal Issues,Medium,Animal Issues Department
Authorities have not resolved the industrial noise yet.,Noise Pollution,Medium,Noise Pollution Department
The situation is worsening because of teacher shortage.,Education,Medium,Education Department
Authorities have not resolved the water pollution yet.,Pollution,Medium,Pollution Department
Multiple complaints have been raised about water pollution.,Pollution,Medium,Pollution Department
Urgent attention is required due to missing extinguishers.,Fire Hazard,High,Fire Hazard Department
Authorities have not resolved the transformer failure yet.,Electricity,High,Electricity Department
Residents are facing loudspeaker disturbance in the area.,Noise Pollution,Medium,Noise Pollution Department
Citizens have repeatedly reported kidnapping complaint.,Crime,High,Crime Department
Urgent attention is required due to poor mobile signal.,Telecom,Medium,Telecom Department
Please take immediate action regarding stagnant water.,Drainage,Medium,Drainage Department
Authorities have not resolved the pipeline leakage yet.,Water,High,Water Department
Authorities have not resolved the bus delay yet.,Transport,Medium,Transport Department
The situation is worsening because of broken playground equipment.,Parks,Low,Parks Department
Please take immediate action regarding unclean park.,Parks,Low,Parks Department
Authorities have not resolved the unsafe area yet.,Public Safety,Medium,Public Safety Department
Please take immediate action regarding pipeline leakage.,Water,High,Water Department
Multiple complaints have been raised about wastewater leakage.,Sewage,High,Sewage Department
Authorities have not resolved the ecosystem damage yet.,Environment,Medium,Environment Department
Urgent attention is required due to illegal payment demand.,Corruption,Medium,Corruption Department
Residents are facing chemical discharge in the area.,Pollution,Medium,Pollution Department
Multiple complaints have been raised about urban flooding.,Flooding,High,Flooding Department
Please take immediate action regarding injured animal.,Animal Issues,Medium,Animal Issues Department
Citizens have repeatedly reported tree cutting.,Environment,Medium,Environment Department
Authorities have not resolved the ecosystem damage yet.,Environment,Medium,Environment Department
Authorities have not resolved the housing maintenance issue yet.,Housing,Medium,Housing Department
People are suffering because of wastewater leakage.,Sewage,High,Sewage Department
The locality has been affected by medicine shortage for several days.,Healthcare,High,Healthcare Department
Please take immediate action regarding waste collection delay.,Waste,Medium,Waste Department
Citizens have repeatedly reported poor housing conditions.,Housing,Medium,Housing Department
People are suffering because of service request pending.,Government Services,Medium,Government Services Department
Citizens have repeatedly reported irrigation issue.,Agriculture,Medium,Agriculture Department
Urgent attention is required due to industrial smoke.,Pollution,Medium,Pollution Department
Multiple complaints have been raised about robbery case.,Crime,High,Crime Department
The locality has been affected by damaged road for several days.,Infrastructure,Medium,Infrastructure Department
There is a serious problem involving broadband failure.,Telecom,Medium,Telecom Department
Multiple complaints have been raised about telecom service issue.,Telecom,Medium,Telecom Department
Multiple complaints have been raised about animal shelter issue.,Animal Issues,Medium,Animal Issues Department
The locality has been affected by rainwater accumulation for several days.,Flooding,High,Flooding Department
There is a serious problem involving stray dog attack.,Animal Issues,Medium,Animal Issues Department
Urgent attention is required due to injured animal.,Animal Issues,Medium,Animal Issues Department
People are suffering because of government portal outage.,Digital Services,Low,Digital Services Department
Urgent attention is required due to housing maintenance issue.,Housing,Medium,Housing Department
Residents are facing monkey nuisance in the area.,Animal Issues,Medium,Animal Issues Department
Urgent attention is required due to voltage fluctuation.,Electricity,High,Electricity Department
Multiple complaints have been raised about garbage accumulation.,Waste,Medium,Waste Department
Authorities have not resolved the nighttime noise yet.,Noise Pollution,Medium,Noise Pollution Department
The situation is worsening because of animal shelter issue.,Animal Issues,Medium,Animal Issues Department
There is a serious problem involving illegal parking.,Parking,Low,Parking Department
Citizens have repeatedly reported eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
There is a serious problem involving flood risk.,Flooding,High,Flooding Department
Residents are facing building crack in the area.,Housing,Medium,Housing Department
People are suffering because of stray dog attack.,Animal Issues,Medium,Animal Issues Department
The situation is worsening because of bribery complaint.,Corruption,Medium,Corruption Department
Residents are facing illegal building extension in the area.,Illegal Construction,Medium,Illegal Construction Department
There is a serious problem involving ambulance delay.,Healthcare,High,Healthcare Department
Multiple complaints have been raised about poor housing conditions.,Housing,Medium,Housing Department
People are suffering because of poor public transport.,Transport,Medium,Transport Department
Authorities have not resolved the child safety concern yet.,Women & Child Safety,High,Women & Child Safety Department
Multiple complaints have been raised about illegal sand mining.,Environment,Medium,Environment Department
Please take immediate action regarding voltage fluctuation.,Electricity,High,Electricity Department
The situation is worsening because of waterlogging.,Flooding,High,Flooding Department
Urgent attention is required due to street vendor blockage.,Encroachment,Medium,Encroachment Department
The locality has been affected by broken school furniture for several days.,Education,Medium,Education Department
Multiple complaints have been raised about waterlogging.,Flooding,High,Flooding Department
People are suffering because of footpath encroachment.,Encroachment,Medium,Encroachment Department
The locality has been affected by poor drainage system for several days.,Drainage,Medium,Drainage Department
Urgent attention is required due to loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
People are suffering because of damaged benches.,Parks,Low,Parks Department
The situation is worsening because of toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
The situation is worsening because of illegal dumping.,Waste,Medium,Waste Department
People are suffering because of streetlight not working.,Streetlight,Medium,Streetlight Department
Citizens have repeatedly reported drain overflow.,Drainage,Medium,Drainage Department
Citizens have repeatedly reported flooded street.,Flooding,High,Flooding Department
The locality has been affected by hospital overcrowding for several days.,Healthcare,High,Healthcare Department
Please take immediate action regarding overflowing dustbins.,Waste,Medium,Waste Department
The situation is worsening because of poor housing conditions.,Housing,Medium,Housing Department
Multiple complaints have been raised about voltage fluctuation.,Electricity,High,Electricity Department
Authorities have not resolved the unsafe bridge yet.,Infrastructure,Medium,Infrastructure Department
The locality has been affected by large potholes for several days.,Infrastructure,Medium,Infrastructure Department
The locality has been affected by water shortage in toilet for several days.,Public Toilets,Medium,Public Toilets Department
Residents are facing fertilizer shortage in the area.,Agriculture,Medium,Agriculture Department
Citizens have repeatedly reported illegal sand mining.,Environment,Medium,Environment Department
Urgent attention is required due to animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Citizens have repeatedly reported broadband failure.,Telecom,Medium,Telecom Department
Urgent attention is required due to broken playground equipment.,Parks,Low,Parks Department
Citizens have repeatedly reported double parking.,Parking,Low,Parking Department
There is a serious problem involving faulty street lighting.,Streetlight,Medium,Streetlight Department
Authorities have not resolved the injured animal yet.,Animal Issues,Medium,Animal Issues Department
Authorities have not resolved the poor housing conditions yet.,Housing,Medium,Housing Department
Multiple complaints have been raised about bus delay.,Transport,Medium,Transport Department
Residents are facing broken footpath in the area.,Infrastructure,Medium,Infrastructure Department
People are suffering because of construction without permit.,Illegal Construction,Medium,Illegal Construction Department
The situation is worsening because of park maintenance issue.,Parks,Low,Parks Department
Urgent attention is required due to sewage overflow.,Sewage,High,Sewage Department
Urgent attention is required due to uncleared waste.,Waste,Medium,Waste Department
The locality has been affected by animal shelter issue for several days.,Animal Issues,Medium,Animal Issues Department
Please take immediate action regarding broken toilet facility.,Public Toilets,Medium,Public Toilets Department
There is a serious problem involving unsafe school route.,Women & Child Safety,High,Women & Child Safety Department
Residents are facing service request pending in the area.,Government Services,Medium,Government Services Department
Authorities have not resolved the tree cutting yet.,Environment,Medium,Environment Department
Citizens have repeatedly reported roof leakage.,Housing,Medium,Housing Department
People are suffering because of unsafe area.,Public Safety,Medium,Public Safety Department
People are suffering because of lack of doctors.,Healthcare,High,Healthcare Department
People are suffering because of harassment of women.,Women & Child Safety,High,Women & Child Safety Department
The locality has been affected by vehicle obstruction for several days.,Parking,Low,Parking Department
There is a serious problem involving voltage fluctuation.,Electricity,High,Electricity Department
There is a serious problem involving official misconduct.,Corruption,Medium,Corruption Department
Residents are facing animal shelter issue in the area.,Animal Issues,Medium,Animal Issues Department
Residents are facing document processing delay in the area.,Government Services,Medium,Government Services Department
The locality has been affected by teacher shortage for several days.,Education,Medium,Education Department
The situation is worsening because of overgrown vegetation.,Parks,Low,Parks Department
Urgent attention is required due to tree cutting.,Environment,Medium,Environment Department
Please take immediate action regarding medicine shortage.,Healthcare,High,Healthcare Department
Authorities have not resolved the transformer failure yet.,Electricity,High,Electricity Department
There is a serious problem involving unsafe construction.,Illegal Construction,Medium,Illegal Construction Department
There is a serious problem involving garbage accumulation.,Waste,Medium,Waste Department
Residents are facing nighttime noise in the area.,Noise Pollution,Medium,Noise Pollution Department
Multiple complaints have been raised about unsafe construction.,Illegal Construction,Medium,Illegal Construction Department
Urgent attention is required due to hospital overcrowding.,Healthcare,High,Healthcare Department
Multiple complaints have been raised about tree cutting.,Environment,Medium,Environment Department
Multiple complaints have been raised about dark street.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding loss of green cover.,Environment,Medium,Environment Department
Please take immediate action regarding roof leakage.,Housing,Medium,Housing Department
The situation is worsening because of poor housing conditions.,Housing,Medium,Housing Department
The situation is worsening because of blocked driveway.,Parking,Low,Parking Department
There is a serious problem involving pipeline leakage.,Water,High,Water Department
People are suffering because of load shedding.,Electricity,High,Electricity Department
People are suffering because of school infrastructure issue.,Education,Medium,Education Department
People are suffering because of illegal parking.,Parking,Low,Parking Department
Multiple complaints have been raised about lack of doctors.,Healthcare,High,Healthcare Department
The locality has been affected by pest infestation for several days.,Agriculture,Medium,Agriculture Department
The situation is worsening because of voltage fluctuation.,Electricity,High,Electricity Department
There is a serious problem involving urban flooding.,Flooding,High,Flooding Department
The locality has been affected by illegal payment demand for several days.,Corruption,Medium,Corruption Department
Please take immediate action regarding vehicle obstruction.,Parking,Low,Parking Department
Residents are facing illegal payment demand in the area.,Corruption,Medium,Corruption Department
Residents are facing drain overflow in the area.,Drainage,Medium,Drainage Department
Residents are facing vehicle obstruction in the area.,Parking,Low,Parking Department
The situation is worsening because of rainwater accumulation.,Flooding,High,Flooding Department
There is a serious problem involving unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
Citizens have repeatedly reported school infrastructure issue.,Education,Medium,Education Department
Residents are facing stagnant water in the area.,Drainage,Medium,Drainage Department
Urgent attention is required due to wastewater leakage.,Sewage,High,Sewage Department
Authorities have not resolved the water pollution yet.,Pollution,Medium,Pollution Department
There is a serious problem involving office inefficiency.,Government Services,Medium,Government Services Department
People are suffering because of office inefficiency.,Government Services,Medium,Government Services Department
There is a serious problem involving signal malfunction.,Transport,Medium,Transport Department
Urgent attention is required due to faulty street lighting.,Streetlight,Medium,Streetlight Department
Authorities have not resolved the illegal parking yet.,Parking,Low,Parking Department
Multiple complaints have been raised about illegal dumping.,Waste,Medium,Waste Department
The situation is worsening because of toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
Please take immediate action regarding stagnant water.,Drainage,Medium,Drainage Department
Urgent attention is required due to overflowing dustbins.,Waste,Medium,Waste Department
Multiple complaints have been raised about poor drainage system.,Drainage,Medium,Drainage Department
The locality has been affected by illegal payment demand for several days.,Corruption,Medium,Corruption Department
People are suffering because of illegal payment demand.,Corruption,Medium,Corruption Department
People are suffering because of stray dog attack.,Animal Issues,Medium,Animal Issues Department
Urgent attention is required due to industrial noise.,Noise Pollution,Medium,Noise Pollution Department
Please take immediate action regarding unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
People are suffering because of street vendor blockage.,Encroachment,Medium,Encroachment Department
Residents are facing building crack in the area.,Housing,Medium,Housing Department
There is a serious problem involving unsafe bridge.,Infrastructure,Medium,Infrastructure Department
Please take immediate action regarding transformer failure.,Electricity,High,Electricity Department
People are suffering because of medicine shortage.,Healthcare,High,Healthcare Department
Residents are facing unsafe pedestrian crossing in the area.,Public Safety,Medium,Public Safety Department
There is a serious problem involving construction noise.,Noise Pollution,Medium,Noise Pollution Department
There is a serious problem involving damaged streetlight pole.,Streetlight,Medium,Streetlight Department
Multiple complaints have been raised about network outage.,Telecom,Medium,Telecom Department
People are suffering because of unsafe bridge.,Infrastructure,Medium,Infrastructure Department
Urgent attention is required due to abandoned building risk.,Public Safety,Medium,Public Safety Department
Residents are facing lack of doctors in the area.,Healthcare,High,Healthcare Department
There is a serious problem involving irrigation issue.,Agriculture,Medium,Agriculture Department
The situation is worsening because of unsafe apartment.,Housing,Medium,Housing Department
Urgent attention is required due to water pollution.,Pollution,Medium,Pollution Department
Citizens have repeatedly reported illegal payment demand.,Corruption,Medium,Corruption Department
There is a serious problem involving traffic noise.,Noise Pollution,Medium,Noise Pollution Department
The locality has been affected by theft incident for several days.,Crime,High,Crime Department
There is a serious problem involving sewage overflow.,Sewage,High,Sewage Department
Please take immediate action regarding signal malfunction.,Transport,Medium,Transport Department
People are suffering because of parking shortage.,Parking,Low,Parking Department
The situation is worsening because of bribery complaint.,Corruption,Medium,Corruption Department
Urgent attention is required due to unclean park.,Parks,Low,Parks Department
The locality has been affected by sewer blockage for several days.,Sewage,High,Sewage Department
The situation is worsening because of parking shortage.,Parking,Low,Parking Department
Citizens have repeatedly reported lack of doctors.,Healthcare,High,Healthcare Department
Citizens have repeatedly reported vehicle obstruction.,Parking,Low,Parking Department
Residents are facing double parking in the area.,Parking,Low,Parking Department
Multiple complaints have been raised about faulty street lighting.,Streetlight,Medium,Streetlight Department
The situation is worsening because of missing lights.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding unsafe bridge.,Infrastructure,Medium,Infrastructure Department
Authorities have not resolved the overflowing dustbins yet.,Waste,Medium,Waste Department
The situation is worsening because of illegal payment demand.,Corruption,Medium,Corruption Department
Multiple complaints have been raised about river pollution.,Environment,Medium,Environment Department
People are suffering because of uncleared waste.,Waste,Medium,Waste Department
There is a serious problem involving unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
People are suffering because of animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Multiple complaints have been raised about unsafe bridge.,Infrastructure,Medium,Infrastructure Department
Authorities have not resolved the bus delay yet.,Transport,Medium,Transport Department
Please take immediate action regarding housing maintenance issue.,Housing,Medium,Housing Department
Urgent attention is required due to building crack.,Housing,Medium,Housing Department
People are suffering because of bus delay.,Transport,Medium,Transport Department
People are suffering because of unsafe school route.,Women & Child Safety,High,Women & Child Safety Department
Please take immediate action regarding roof leakage.,Housing,Medium,Housing Department
The situation is worsening because of teacher shortage.,Education,Medium,Education Department
Urgent attention is required due to teacher shortage.,Education,Medium,Education Department
Please take immediate action regarding nighttime noise.,Noise Pollution,Medium,Noise Pollution Department
Multiple complaints have been raised about building crack.,Housing,Medium,Housing Department
The locality has been affected by online service failure for several days.,Digital Services,Low,Digital Services Department
Multiple complaints have been raised about public land encroachment.,Encroachment,Medium,Encroachment Department
Residents are facing flood risk in the area.,Flooding,High,Flooding Department
Please take immediate action regarding unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Urgent attention is required due to electric line fault.,Electricity,High,Electricity Department
Multiple complaints have been raised about illegal building extension.,Illegal Construction,Medium,Illegal Construction Department
Residents are facing ecosystem damage in the area.,Environment,Medium,Environment Department
Urgent attention is required due to missing extinguishers.,Fire Hazard,High,Fire Hazard Department
There is a serious problem involving encroaching structure.,Illegal Construction,Medium,Illegal Construction Department
Urgent attention is required due to ambulance delay.,Healthcare,High,Healthcare Department
Residents are facing stray dog attack in the area.,Animal Issues,Medium,Animal Issues Department
Authorities have not resolved the signal malfunction yet.,Transport,Medium,Transport Department
Citizens have repeatedly reported electrical fire risk.,Fire Hazard,High,Fire Hazard Department
The locality has been affected by flood risk for several days.,Flooding,High,Flooding Department
People are suffering because of rainwater accumulation.,Flooding,High,Flooding Department
People are suffering because of lack of police patrol.,Public Safety,Medium,Public Safety Department
Please take immediate action regarding poor housing conditions.,Housing,Medium,Housing Department
There is a serious problem involving urban flooding.,Flooding,High,Flooding Department
There is a serious problem involving water pollution.,Pollution,Medium,Pollution Department
Please take immediate action regarding hospital overcrowding.,Healthcare,High,Healthcare Department
Authorities have not resolved the voltage fluctuation yet.,Electricity,High,Electricity Department
Authorities have not resolved the sewage smell yet.,Sewage,High,Sewage Department
People are suffering because of hospital overcrowding.,Healthcare,High,Healthcare Department
People are suffering because of eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
There is a serious problem involving robbery case.,Crime,High,Crime Department
There is a serious problem involving unsafe apartment.,Housing,Medium,Housing Department
There is a serious problem involving service request pending.,Government Services,Medium,Government Services Department
Authorities have not resolved the water shortage yet.,Water,High,Water Department
Citizens have repeatedly reported unsafe apartment.,Housing,Medium,Housing Department
People are suffering because of cybercrime activity.,Crime,High,Crime Department
Urgent attention is required due to power outage.,Electricity,High,Electricity Department
There is a serious problem involving missing extinguishers.,Fire Hazard,High,Fire Hazard Department
Residents are facing clogged storm drain in the area.,Drainage,Medium,Drainage Department
Authorities have not resolved the sewage overflow yet.,Sewage,High,Sewage Department
People are suffering because of broken footpath.,Infrastructure,Medium,Infrastructure Department
People are suffering because of broadband failure.,Telecom,Medium,Telecom Department
Residents are facing load shedding in the area.,Electricity,High,Electricity Department
Citizens have repeatedly reported server downtime.,Digital Services,Low,Digital Services Department
Urgent attention is required due to faulty street lighting.,Streetlight,Medium,Streetlight Department
The situation is worsening because of illegal dumping.,Waste,Medium,Waste Department
Urgent attention is required due to animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Multiple complaints have been raised about water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
Please take immediate action regarding industrial smoke.,Pollution,Medium,Pollution Department
People are suffering because of abandoned building risk.,Public Safety,Medium,Public Safety Department
The locality has been affected by unclean park for several days.,Parks,Low,Parks Department
The situation is worsening because of cybercrime activity.,Crime,High,Crime Department
Residents are facing unsafe pedestrian crossing in the area.,Public Safety,Medium,Public Safety Department
The locality has been affected by power outage for several days.,Electricity,High,Electricity Department
There is a serious problem involving corrupt practice.,Corruption,Medium,Corruption Department
The locality has been affected by unsafe apartment for several days.,Housing,Medium,Housing Department
The locality has been affected by nighttime noise for several days.,Noise Pollution,Medium,Noise Pollution Department
People are suffering because of flood risk.,Flooding,High,Flooding Department
Multiple complaints have been raised about signal malfunction.,Transport,Medium,Transport Department
Multiple complaints have been raised about pest infestation.,Agriculture,Medium,Agriculture Department
The situation is worsening because of flood risk.,Flooding,High,Flooding Department
Multiple complaints have been raised about damaged benches.,Parks,Low,Parks Department
Residents are facing poor drainage system in the area.,Drainage,Medium,Drainage Department
Please take immediate action regarding damaged streetlight pole.,Streetlight,Medium,Streetlight Department
Urgent attention is required due to ecosystem damage.,Environment,Medium,Environment Department
Multiple complaints have been raised about illegal parking.,Parking,Low,Parking Department
Multiple complaints have been raised about flammable waste.,Fire Hazard,High,Fire Hazard Department
Residents are facing online service failure in the area.,Digital Services,Low,Digital Services Department
The locality has been affected by digital payment issue for several days.,Digital Services,Low,Digital Services Department
Authorities have not resolved the poor housing conditions yet.,Housing,Medium,Housing Department
Residents are facing large potholes in the area.,Infrastructure,Medium,Infrastructure Department
Citizens have repeatedly reported government portal outage.,Digital Services,Low,Digital Services Department
People are suffering because of pipeline leakage.,Water,High,Water Department
Authorities have not resolved the loss of green cover yet.,Environment,Medium,Environment Department
Authorities have not resolved the official misconduct yet.,Corruption,Medium,Corruption Department
There is a serious problem involving poor housing conditions.,Housing,Medium,Housing Department
The locality has been affected by sewage overflow for several days.,Sewage,High,Sewage Department
The situation is worsening because of building crack.,Housing,Medium,Housing Department
The situation is worsening because of flooded street.,Flooding,High,Flooding Department
The locality has been affected by abandoned building risk for several days.,Public Safety,Medium,Public Safety Department
People are suffering because of animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Urgent attention is required due to unclean park.,Parks,Low,Parks Department
Citizens have repeatedly reported industrial noise.,Noise Pollution,Medium,Noise Pollution Department
The situation is worsening because of medicine shortage.,Healthcare,High,Healthcare Department
Urgent attention is required due to drain overflow.,Drainage,Medium,Drainage Department
Citizens have repeatedly reported internet disruption.,Telecom,Medium,Telecom Department
People are suffering because of illegal payment demand.,Corruption,Medium,Corruption Department
The situation is worsening because of flammable waste.,Fire Hazard,High,Fire Hazard Department
Urgent attention is required due to child safety concern.,Women & Child Safety,High,Women & Child Safety Department
The situation is worsening because of dust pollution.,Pollution,Medium,Pollution Department
People are suffering because of public harassment.,Public Safety,Medium,Public Safety Department
Urgent attention is required due to poor mobile signal.,Telecom,Medium,Telecom Department
Please take immediate action regarding voltage fluctuation.,Electricity,High,Electricity Department
Urgent attention is required due to missing lights.,Streetlight,Medium,Streetlight Department
Citizens have repeatedly reported fertilizer shortage.,Agriculture,Medium,Agriculture Department
Urgent attention is required due to cybercrime activity.,Crime,High,Crime Department
Urgent attention is required due to eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
Multiple complaints have been raised about damaged road.,Infrastructure,Medium,Infrastructure Department
Citizens have repeatedly reported farm water problem.,Agriculture,Medium,Agriculture Department
The situation is worsening because of lack of doctors.,Healthcare,High,Healthcare Department
Residents are facing hospital overcrowding in the area.,Healthcare,High,Healthcare Department
People are suffering because of chemical discharge.,Pollution,Medium,Pollution Department
Please take immediate action regarding illegal payment demand.,Corruption,Medium,Corruption Department
Residents are facing footpath encroachment in the area.,Encroachment,Medium,Encroachment Department
Authorities have not resolved the broken playground equipment yet.,Parks,Low,Parks Department
There is a serious problem involving construction without permit.,Illegal Construction,Medium,Illegal Construction Department
Urgent attention is required due to illegal building extension.,Illegal Construction,Medium,Illegal Construction Department
Residents are facing rainwater accumulation in the area.,Flooding,High,Flooding Department
Multiple complaints have been raised about harassment of women.,Women & Child Safety,High,Women & Child Safety Department
Residents are facing poor sanitation in hospital in the area.,Healthcare,High,Healthcare Department
Authorities have not resolved the unsafe school route yet.,Women & Child Safety,High,Women & Child Safety Department
Residents are facing certificate issue in the area.,Government Services,Medium,Government Services Department
There is a serious problem involving broken toilet facility.,Public Toilets,Medium,Public Toilets Department
Residents are facing poor public transport in the area.,Transport,Medium,Transport Department
Multiple complaints have been raised about contaminated drinking water.,Water,High,Water Department
People are suffering because of loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
The situation is worsening because of poor drainage system.,Drainage,Medium,Drainage Department
The locality has been affected by unsafe apartment for several days.,Housing,Medium,Housing Department
There is a serious problem involving sewage smell.,Sewage,High,Sewage Department
Please take immediate action regarding teacher shortage.,Education,Medium,Education Department
There is a serious problem involving urban flooding.,Flooding,High,Flooding Department
The locality has been affected by encroaching structure for several days.,Illegal Construction,Medium,Illegal Construction Department
Urgent attention is required due to contaminated drinking water.,Water,High,Water Department
The locality has been affected by online service failure for several days.,Digital Services,Low,Digital Services Department
Authorities have not resolved the industrial noise yet.,Noise Pollution,Medium,Noise Pollution Department
Please take immediate action regarding roof leakage.,Housing,Medium,Housing Department
The locality has been affected by unsafe area for several days.,Public Safety,Medium,Public Safety Department
People are suffering because of collapsed pavement.,Infrastructure,Medium,Infrastructure Department
Residents are facing unsafe school route in the area.,Women & Child Safety,High,Women & Child Safety Department
Citizens have repeatedly reported lack of toilets in school.,Education,Medium,Education Department
People are suffering because of injured animal.,Animal Issues,Medium,Animal Issues Department
Multiple complaints have been raised about clogged storm drain.,Drainage,Medium,Drainage Department
People are suffering because of contaminated drinking water.,Water,High,Water Department
Residents are facing official misconduct in the area.,Corruption,Medium,Corruption Department
There is a serious problem involving road encroachment.,Encroachment,Medium,Encroachment Department
Authorities have not resolved the drain overflow yet.,Drainage,Medium,Drainage Department
Urgent attention is required due to public land encroachment.,Encroachment,Medium,Encroachment Department
Urgent attention is required due to bribery complaint.,Corruption,Medium,Corruption Department
Citizens have repeatedly reported faulty street lighting.,Streetlight,Medium,Streetlight Department
There is a serious problem involving hospital overcrowding.,Healthcare,High,Healthcare Department
Multiple complaints have been raised about collapsed pavement.,Infrastructure,Medium,Infrastructure Department
The situation is worsening because of missing lights.,Streetlight,Medium,Streetlight Department
The situation is worsening because of missing child report.,Women & Child Safety,High,Women & Child Safety Department
Citizens have repeatedly reported vehicle obstruction.,Parking,Low,Parking Department
Please take immediate action regarding public land encroachment.,Encroachment,Medium,Encroachment Department
The situation is worsening because of unsafe apartment.,Housing,Medium,Housing Department
Please take immediate action regarding corrupt practice.,Corruption,Medium,Corruption Department
Please take immediate action regarding eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
The situation is worsening because of electric line fault.,Electricity,High,Electricity Department
The situation is worsening because of cybercrime activity.,Crime,High,Crime Department
People are suffering because of large potholes.,Infrastructure,Medium,Infrastructure Department
There is a serious problem involving sewage smell.,Sewage,High,Sewage Department
Multiple complaints have been raised about industrial smoke.,Pollution,Medium,Pollution Department
The situation is worsening because of fire safety violation.,Fire Hazard,High,Fire Hazard Department
There is a serious problem involving stray dog attack.,Animal Issues,Medium,Animal Issues Department
Authorities have not resolved the unsafe bridge yet.,Infrastructure,Medium,Infrastructure Department
Residents are facing animal shelter issue in the area.,Animal Issues,Medium,Animal Issues Department
Urgent attention is required due to damaged benches.,Parks,Low,Parks Department
Authorities have not resolved the crop damage yet.,Agriculture,Medium,Agriculture Department
Citizens have repeatedly reported school infrastructure issue.,Education,Medium,Education Department
Residents are facing government portal outage in the area.,Digital Services,Low,Digital Services Department
Please take immediate action regarding illegal sand mining.,Environment,Medium,Environment Department
Please take immediate action regarding park maintenance issue.,Parks,Low,Parks Department
Residents are facing missing child report in the area.,Women & Child Safety,High,Women & Child Safety Department
The locality has been affected by poor drainage system for several days.,Drainage,Medium,Drainage Department
Authorities have not resolved the poor mobile signal yet.,Telecom,Medium,Telecom Department
There is a serious problem involving missing lights.,Streetlight,Medium,Streetlight Department
Authorities have not resolved the open sewage yet.,Sewage,High,Sewage Department
The locality has been affected by waste collection delay for several days.,Waste,Medium,Waste Department
Please take immediate action regarding encroaching structure.,Illegal Construction,Medium,Illegal Construction Department
Authorities have not resolved the road blockage yet.,Transport,Medium,Transport Department
Citizens have repeatedly reported building crack.,Housing,Medium,Housing Department
Residents are facing unclean public toilet in the area.,Public Toilets,Medium,Public Toilets Department
The situation is worsening because of poor drainage system.,Drainage,Medium,Drainage Department
Authorities have not resolved the ecosystem damage yet.,Environment,Medium,Environment Department
Citizens have repeatedly reported toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
The locality has been affected by injured animal for several days.,Animal Issues,Medium,Animal Issues Department
Please take immediate action regarding teacher shortage.,Education,Medium,Education Department
Multiple complaints have been raised about load shedding.,Electricity,High,Electricity Department
Citizens have repeatedly reported network outage.,Telecom,Medium,Telecom Department
Please take immediate action regarding theft incident.,Crime,High,Crime Department
There is a serious problem involving loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
Citizens have repeatedly reported loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
Authorities have not resolved the crop damage yet.,Agriculture,Medium,Agriculture Department
The situation is worsening because of cattle on roads.,Animal Issues,Medium,Animal Issues Department
The locality has been affected by theft incident for several days.,Crime,High,Crime Department
Citizens have repeatedly reported roof leakage.,Housing,Medium,Housing Department
People are suffering because of water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
People are suffering because of server downtime.,Digital Services,Low,Digital Services Department
The locality has been affected by medicine shortage for several days.,Healthcare,High,Healthcare Department
